Trader,HFT,MIX,NON HFT,Sum,type
Adelaide,0.03918129,0.14932138,0.81149733,10,NON HFT
Alana,0.000112606795,0.0074511548,0.99243623,37,NON HFT
Alcmene,0.06424077,0.005066678,0.93069255,16,NON HFT
Alice,0.9998896,0.00010478519,5.601596e-06,2097,HFT
Alices Sister,0.07706067,0.13625097,0.7866883,183,NON HFT
Angel (Experiment 624),0.0027475476,0.0038131576,0.9934393,14,NON HFT
Annette,0.017119164,0.8265427,0.15633816,99,MIX
Armoire,0.056140635,0.64698505,0.29687434,163,MIX
Arthur/Wart,0.2750811,0.05488735,0.67003155,45,NON HFT
Axe,0.06196027,0.61343765,0.32460207,32,MIX
Baby Red Bird,0.06407706,0.3965,0.539423,289,NON HFT
Backwoods Beagle,0.059525352,0.8892781,0.05119651,1519,MIX
Bacon Beagle,0.013372978,0.008187501,0.9784395,905,NON HFT
Baileywick,0.00067683996,0.9969897,0.0023334234,2120,MIX
Bat Queen,0.0040797098,0.18072145,0.81519884,72,NON HFT
Becky,0.0012952538,0.008395892,0.9903089,31,NON HFT
Bent-Tail the Coyote,0.971435,0.017418765,0.011146247,905,HFT
Big Al,0.003091023,0.017014086,0.9798949,79,NON HFT
Big Mama,0.0014730754,0.99804837,0.0004785688,2124,MIX
Bill Green,0.011758429,0.98540044,0.0028411162,2121,MIX
Black Bart,0.00066640193,0.003252491,0.9960811,1797,NON HFT
Bobble,0.0519895,0.06636769,0.8816428,2,NON HFT
Bomber Beagle,0.10418791,0.0844671,0.811345,26,NON HFT
Bookseller,0.6497916,0.14064953,0.20955884,703,HFT
Boomer,0.004722632,0.12216927,0.8731081,4,NON HFT
Bowler Hat Guy,0.06457367,0.35989565,0.57553065,101,NON HFT
Braddock,0.0020485644,0.0075716735,0.9903798,1,NON HFT
Brer Bear,0.0018807122,0.005811477,0.99230784,37,NON HFT
Brudo Avarius,0.991043,0.0044990457,0.004457951,2010,HFT
Bruno the Dog,0.0031435161,0.0024858273,0.99437064,1536,NON HFT
Buck Leatherleaf,0.97334015,0.015659662,0.011000208,2008,HFT
Bucky Oryx-Antlerson,2.9993354e-05,0.0077086524,0.99226135,1,NON HFT
Butch the Bulldog,0.00845588,0.99015146,0.0013926519,1997,MIX
Butcher Boy,0.00022933513,0.0018896403,0.997881,1659,NON HFT
Dallben,0.00539717,0.014139118,0.98046374,7,NON HFT
Danny,0.017433567,0.966774,0.01579243,1656,MIX
Dennis Avarius,0.01904135,0.02148717,0.95947146,230,NON HFT
Digger the Mole,4.307677e-05,0.0021999094,0.997757,1924,NON HFT
Dijon the Thief,0.12393183,0.8221229,0.053945318,519,MIX
Don Karnage,0.9988949,0.0010789174,2.6187387e-05,2051,HFT
Donald Duck,0.8533126,0.053574022,0.09311336,722,HFT
Doug Dalmatian,0.0023268268,0.0052090837,0.99246407,1634,NON HFT
Dr. Delbert Doppler,0.07286659,0.0039370097,0.9231964,29,NON HFT
Dr. Facilier,0.0016845528,0.937676,0.060639415,641,MIX
Dr. Joshua Sweet,0.004678382,0.004078808,0.9912428,1557,NON HFT
Dr. Teeth,0.12765816,0.025112487,0.84722936,38,NON HFT
Duchess,0.0011006593,0.96325856,0.035640776,2113,MIX
Duke of Weselton,0.047184244,0.9380819,0.014733816,2050,MIX
Dylan Dalmatian,0.0013014321,0.0064083044,0.99229026,66,NON HFT
Edric Blight,0.0030504288,0.01031871,0.98663086,58,NON HFT
Elliott,0.004775531,0.029828148,0.96539634,42,NON HFT
Emperor Belos,0.001086738,0.0032721234,0.9956411,1492,NON HFT
Evinrude,0.9881467,0.0020179683,0.009835285,2080,HFT
Fairy Mary,0.033577602,0.05171263,0.91470975,1,NON HFT
Fidget,0.008509032,0.97525823,0.016232738,2121,MIX
Flash,0.0019789315,0.9339771,0.06404393,2045,MIX
Flora,0.0025552993,0.9811945,0.0162502,1824,MIX
Flounder,0.016938183,0.9455074,0.037554394,2015,MIX
Flunkey the Baboon,0.22097306,0.12658836,0.6524386,1,NON HFT
Francis,0.9850632,0.014862949,7.385601e-05,1519,HFT
Friend Owl,0.06041699,0.18063249,0.75895053,372,NON HFT
Mad Hatter,0.8530441,0.11900963,0.027946295,1230,HFT
Madame Medusa,0.008803303,0.9841348,0.007061872,1610,MIX
Maddie Flour,0.001205515,0.004384331,0.99441016,10,NON HFT
Magic Carpet,0.031076174,0.016978435,0.95194536,66,NON HFT
Major the Horse,0.009499042,0.37009618,0.6204048,13,NON HFT
Marahute,0.9955798,0.004414309,5.929689e-06,1187,HFT
March Hare,0.008953924,0.22045739,0.7705887,299,NON HFT
Marlon the Alligator,0.0022145805,0.028753765,0.96903163,32,NON HFT
Mary Darling,0.023037266,0.10461548,0.87234724,17,NON HFT
Mattholomule,0.022077955,0.010545481,0.9673766,171,NON HFT
Maui,0.77660185,0.07326114,0.15013695,1,HFT
Max the Sheepdog,0.028802352,0.96209013,0.009107503,2113,MIX
Megavolt,0.003119757,0.9937937,0.0030865322,2108,MIX
Melpomene,0.9942338,0.0015552086,0.0042109797,710,HFT
Merlock the Magician,0.08259243,0.069227055,0.84818053,292,NON HFT
Mike the Microphone,0.52238744,0.21008253,0.26753002,50,HFT
Miss Bianca,0.0042129587,0.008228459,0.9875586,25,NON HFT
Miss Nettle,0.0014378979,0.02048667,0.97807544,905,NON HFT
Moana,0.0015708298,0.0057995208,0.99262965,32,NON HFT
Monstro,0.14842527,0.77282405,0.0787507,4,MIX
Morgana,0.007996226,0.9685251,0.023478663,374,MIX
The Doorknob,0.83837134,0.11023024,0.05139845,152,HFT
The Doorman,0.98046964,0.011951396,0.007578937,2100,HFT
The Magic Mirror,0.002950923,0.99507624,0.0019728632,2116,MIX
